nohup: ignoring input
Dataset: Chinatown
Arguments: Namespace(run_name='ts2vec-5d', gpu=0, batch_size=8, lr=0.001, repr_dims=320, max_train_length=3000, iters=None, epochs=None, save_every=None, seed=42, depth=5, max_threads=8, eval=True)
Loading data... done. train_data shape: (20, 24, 1)
# Run 0
Epoch #97: loss=1.7361178994178772
Epoch #98: loss=1.6483289003372192
Epoch #99: loss=1.5250163674354553

Training time: 0:00:02.877694

Evaluation result: {'acc': 0.9737609329446064, 'f1': 0.9677581074729751, 'precision': 0.9583299239014811, 'recall': 0.9786165940357174, 'auprc': 0.9972856519014835}
# Run 4
Epoch #0: loss=11.78710126876831
Epoch #1: loss=8.500667095184326
Epoch #2: loss=4.3722569942474365
Epoch #3: loss=3.1181716918945312
Epoch #4: loss=2.6054428815841675
Epoch #5: loss=2.2057738304138184
Epoch #6: loss=2.0971126556396484
Epoch #7: loss=2.1610924005508423
Epoch #8: loss=2.204096555709839
Epoch #9: loss=2.0489501357078552
Epoch #10: loss=2.1282849311828613
Epoch #11: loss=2.0755045413970947
Epoch #12: loss=2.0037667751312256
Epoch #13: loss=1.8472434282302856
Epoch #14: loss=2.1268742084503174
Epoch #15: loss=2.086267352104187
Epoch #16: loss=1.9138420820236206
Epoch #17: loss=2.118117570877075
Epoch #18: loss=2.0732723474502563
Epoch #19: loss=2.1362464427948
Epoch #20: loss=1.9828559160232544
Epoch #21: loss=1.9569436311721802
Epoch #22: loss=2.012386977672577
Epoch #23: loss=1.9005357027053833
Epoch #24: loss=1.9738426804542542
Epoch #25: loss=1.9843168258666992
Epoch #26: loss=1.8747920989990234
Epoch #27: loss=2.0151752829551697
Epoch #28: loss=1.7061520218849182
Epoch #29: loss=1.846289038658142
Epoch #30: loss=1.8023834228515625
Epoch #31: loss=1.8235530853271484
Epoch #32: loss=1.8243256211280823
Epoch #33: loss=1.7348735332489014
Epoch #34: loss=1.7905835509300232
Epoch #35: loss=1.9964100122451782
Epoch #36: loss=1.8405959606170654
Epoch #37: loss=1.6876455545425415
Epoch #38: loss=1.8973143100738525
Epoch #39: loss=1.7207624912261963
Epoch #40: loss=1.6860204935073853
Epoch #41: loss=1.8085576295852661
Epoch #42: loss=1.668167769908905
Epoch #43: loss=1.80589759349823
Epoch #44: loss=1.8651779890060425
Epoch #45: loss=2.0075109601020813
Epoch #46: loss=1.749174177646637
Epoch #47: loss=1.8935447335243225
Epoch #48: loss=1.5648184418678284
Epoch #49: loss=1.7335760593414307
Epoch #50: loss=1.765337347984314
Epoch #51: loss=2.015548050403595
Epoch #52: loss=1.7378729581832886
Epoch #53: loss=1.8123537302017212
Epoch #54: loss=1.9790084958076477
Epoch #55: loss=1.7600741386413574
Epoch #56: loss=1.9021499156951904
Epoch #57: loss=1.783512830734253
Epoch #58: loss=1.5839309096336365
Epoch #59: loss=1.7607344388961792
Epoch #60: loss=1.717366099357605
Epoch #61: loss=1.8991124629974365
Epoch #62: loss=1.8416118621826172
Epoch #63: loss=1.8249163627624512
Epoch #64: loss=1.7581788897514343
Epoch #65: loss=1.85744708776474
Epoch #66: loss=1.8862059712409973
Epoch #67: loss=1.7843400835990906
Epoch #68: loss=1.8647003173828125
Epoch #69: loss=1.6045769453048706
Epoch #70: loss=1.8497939109802246
Epoch #71: loss=1.9614661931991577
Epoch #72: loss=1.8456002473831177
Epoch #73: loss=1.8644952178001404
Epoch #74: loss=1.6939475536346436
Epoch #75: loss=1.7793648838996887
Epoch #76: loss=1.8151016235351562
Epoch #77: loss=1.8589340448379517
Epoch #78: loss=1.7207345366477966
Epoch #79: loss=1.7655087113380432
Epoch #80: loss=1.7931925058364868
Epoch #81: loss=1.7724324464797974
Epoch #82: loss=1.5683547854423523
Epoch #83: loss=1.765170931816101
Epoch #84: loss=1.7313206195831299
Epoch #85: loss=1.5939302444458008
Epoch #86: loss=1.604726254940033
Epoch #87: loss=1.6232730746269226
Epoch #88: loss=1.95985746383667
Epoch #89: loss=1.641133964061737
Epoch #90: loss=1.7487934231758118
Epoch #91: loss=1.5340661406517029
Epoch #92: loss=1.655147135257721
Epoch #93: loss=1.4928243160247803
Epoch #94: loss=1.5653716325759888
Epoch #95: loss=1.620254635810852
Epoch #96: loss=1.3916974663734436
Epoch #97: loss=1.5813862681388855
Epoch #98: loss=1.4764888882637024
Epoch #99: loss=1.4573455452919006

Training time: 0:00:02.781347

Evaluation result: {'acc': 0.9795918367346939, 'f1': 0.974765893493363, 'precision': 0.9676477893691009, 'recall': 0.9826326582927455, 'auprc': 0.9972354774928689}
Dataset: SonyAIBORobotSurface1
Arguments: Namespace(run_name='ts2vec-5d', gpu=0, batch_size=8, lr=0.001, repr_dims=320, max_train_length=3000, iters=None, epochs=None, save_every=None, seed=42, depth=5, max_threads=8, eval=True)
Loading data... done. train_data shape: (20, 70, 1)
# Run 0
Epoch #0: loss=16.82529926300049
Epoch #1: loss=7.719177007675171
Epoch #2: loss=4.191814184188843
Epoch #3: loss=3.115746259689331
Epoch #4: loss=2.878623366355896
Epoch #5: loss=2.5181844234466553
Epoch #6: loss=2.471895694732666
Epoch #7: loss=2.4445672035217285
Epoch #8: loss=2.5315184593200684
Epoch #9: loss=2.412342071533203
Epoch #10: loss=2.253167510032654
Epoch #11: loss=2.1850703954696655
Epoch #12: loss=2.3325040340423584
Epoch #13: loss=2.3052186965942383
Epoch #14: loss=2.3380367755889893
Epoch #15: loss=2.3255695104599
Epoch #16: loss=2.243445634841919
Epoch #17: loss=1.8145505785942078
Epoch #18: loss=2.0620964765548706
Epoch #19: loss=2.0392318964004517
Epoch #20: loss=2.0795264840126038
Epoch #21: loss=2.0753270387649536
Epoch #22: loss=2.0021296739578247
Epoch #23: loss=1.9149063229560852
Epoch #24: loss=1.8229155540466309
Epoch #25: loss=2.114315629005432
Epoch #26: loss=2.0321531295776367
Epoch #27: loss=2.207453727722168
Epoch #28: loss=2.0152194499969482
Epoch #29: loss=1.9875350594520569
Epoch #30: loss=2.136666417121887
Epoch #31: loss=1.9690387845039368
Epoch #32: loss=1.829676330089569
Epoch #33: loss=1.5992895364761353
Epoch #34: loss=2.0466346740722656
Epoch #35: loss=1.9884487390518188
Epoch #36: loss=1.845382571220398
Epoch #37: loss=1.7728909254074097
Epoch #38: loss=1.9486307501792908
Epoch #39: loss=1.6080998182296753
Epoch #40: loss=1.9424731731414795
Epoch #41: loss=1.766682744026184
Epoch #42: loss=1.7432516813278198
Epoch #43: loss=1.824221432209015
Epoch #44: loss=1.811263382434845
Epoch #45: loss=1.7007386684417725
Epoch #46: loss=1.5679235458374023
Epoch #47: loss=1.472945749759674
Epoch #48: loss=1.7228595614433289
Epoch #49: loss=1.4381278157234192
Epoch #50: loss=1.481466293334961
Epoch #51: loss=1.5933684706687927
Epoch #52: loss=1.8593178391456604
Epoch #53: loss=1.6660348773002625
Epoch #54: loss=1.5269712805747986
Epoch #55: loss=1.3901087641716003
Epoch #56: loss=1.6619794964790344
Epoch #57: loss=1.3383320569992065
Epoch #58: loss=1.786676287651062
Epoch #59: loss=1.4585785269737244
Epoch #60: loss=1.6010580658912659
Epoch #61: loss=1.467231273651123
Epoch #62: loss=1.3039823770523071
Epoch #63: loss=1.3352136015892029
Epoch #64: loss=1.6935706734657288
Epoch #65: loss=1.3368206024169922
Epoch #66: loss=1.7680788040161133
Epoch #67: loss=1.7321709990501404
Epoch #68: loss=1.2473055124282837
Epoch #69: loss=1.5064989924430847
Epoch #70: loss=1.5609320998191833
Epoch #71: loss=1.4293447136878967
Epoch #72: loss=1.5540909171104431
Epoch #73: loss=1.4682372212409973
Epoch #74: loss=1.6982203125953674
Epoch #75: loss=1.2370316982269287
Epoch #76: loss=1.0951806902885437
Epoch #77: loss=1.3561525344848633
Epoch #78: loss=1.2154985070228577
Epoch #79: loss=1.1845884323120117
Epoch #80: loss=1.8821700811386108
Epoch #81: loss=1.3582675457000732
Epoch #82: loss=1.8487946391105652
Epoch #83: loss=1.7667635679244995
Epoch #84: loss=1.4102113246917725
Epoch #85: loss=1.602974772453308
Epoch #86: loss=1.558131754398346
Epoch #87: loss=1.2890298962593079
Epoch #88: loss=1.556011438369751
Epoch #89: loss=1.2776803970336914
Epoch #90: loss=1.348944365978241
Epoch #91: loss=1.3004377484321594
Epoch #92: loss=1.1826059222221375
Epoch #93: loss=1.4568074941635132
Epoch #94: loss=1.1808289289474487
Epoch #95: loss=1.1632899045944214
Epoch #96: loss=1.3981852531433105
Epoch #97: loss=1.451304316520691
Epoch #98: loss=0.8958065807819366
Epoch #99: loss=1.2618849873542786

Training time: 0:00:04.369074

Evaluation result: {'acc': 0.9351081530782029, 'f1': 0.9346915688902387, 'precision': 0.9339592334108785, 'recall': 0.9426684294980451, 'auprc': 0.9945867712003543}
# Run 1
Epoch #0: loss=12.40848159790039
Epoch #1: loss=4.686322212219238
Epoch #2: loss=3.907649278640747
Epoch #3: loss=2.7460150718688965
Epoch #4: loss=2.379475235939026
Epoch #5: loss=2.773317813873291
Epoch #6: loss=2.4109212160110474
Epoch #7: loss=2.0479568243026733
Epoch #8: loss=2.294123411178589
Epoch #9: loss=2.255187749862671
Epoch #10: loss=2.2363603115081787
Epoch #11: loss=2.250054955482483
Epoch #12: loss=2.2067267894744873
Epoch #13: loss=2.2484371662139893
Epoch #14: loss=2.0154207944869995
Epoch #15: loss=2.1658945083618164
Epoch #16: loss=2.159862220287323
Epoch #17: loss=2.0990511178970337
Epoch #18: loss=2.0935484170913696
Epoch #19: loss=2.1314234733581543
Epoch #20: loss=1.9562990069389343
Epoch #21: loss=1.9046544432640076
Epoch #22: loss=2.273208975791931
Epoch #23: loss=1.8522455096244812
Epoch #24: loss=1.9363928437232971
Epoch #25: loss=2.267341375350952
Epoch #26: loss=1.86049884557724
Epoch #27: loss=1.5388851165771484
Epoch #28: loss=2.104912757873535
Epoch #29: loss=1.9304093718528748
Epoch #30: loss=1.8216598629951477
